Laser id,Elevation,Azimuth
1,14.794,-1.042
2,10.944,-1.042
3,7.971,-1.042
4,4.969,-1.042
5,2.952,-1.042
6,1.94,-1.042
7,1.6,3.125
8,1.263,-5.208
9,0.925,-1.042
10,0.587,3.125
11,0.249,-5.208
12,-0.088,-1.042
13,-0.425,3.125
14,-0.763,-5.208
15,-1.101,-1.042
16,-1.439,3.125
17,-1.776,-5.208
18,-2.116,-1.042
19,-2.453,3.125
20,-2.788,-5.208
21,-3.128,-1.042
22,-3.463,3.125
23,-3.8,-5.208
24,-4.138,-1.042
25,-4.473,3.125
26,-4.808,-5.208
27,-5.145,-1.042
28,-5.479,3.125
29,-5.814,-5.208
30,-6.149,-1.042
31,-7.151,-1.042
32,-8.147,-1.042
33,-9.148,-1.042
34,-10.133,-1.042
35,-11.12,-1.042
36,-12.094,-1.042
37,-13.062,-1.042
38,-14.018,-1.042
39,-18.977,-1.042
40,-24.985,-1.042
