Laser id,Elevation,Azimuth
1,14.9,-1.042
2,11.05,-1.042
3,8.077,-1.042
4,5.075,-1.042
5,3.058,-1.042
6,2.046,-1.042
7,1.878,1.042
8,1.706,3.125
9,1.54,5.208
10,1.369,-5.208
11,1.202,-3.125
12,1.031,-1.042
13,0.864,1.042
14,0.693,3.125
15,0.526,5.208
16,0.355,-5.208
17,0.187,-3.125
18,0.018,-1.042
19,-0.151,1.042
20,-0.319,3.125
21,-0.49,5.208
22,-0.657,-5.208
23,-0.827,-3.125
24,-0.995,-1.042
25,-1.166,1.042
26,-1.333,3.125
27,-1.504,5.208
28,-1.67,-5.208
29,-1.842,-3.125
30,-2.01,-1.042
31,-2.18,1.042
32,-2.347,3.125
33,-2.518,5.208
34,-2.682,-5.208
35,-2.855,-3.125
36,-3.022,-1.042
37,-3.192,1.042
38,-3.357,3.125
39,-3.53,5.208
40,-3.694,-5.208
41,-3.866,-3.125
42,-4.032,-1.042
43,-4.203,1.042
44,-4.367,3.125
45,-4.54,5.208
46,-4.702,-5.208
47,-4.874,-3.125
48,-5.039,-1.042
49,-5.211,1.042
50,-5.373,3.125
51,-5.547,5.208
52,-5.708,-5.208
53,-5.88,-3.125
54,-6.043,-1.042
55,-7.045,-1.042
56,-8.041,-1.042
57,-9.042,-1.042
58,-10.027,-1.042
59,-11.014,-1.042
60,-11.988,-1.042
61,-12.956,-1.042
62,-13.912,-1.042
63,-18.871,-1.042
64,-24.879,-1.042
